Satellits Schedule / LorettOrbital 0.0.4

Coordinates of the position: 43.8302° 55.397°
Time zone: UTC +3:00
Start: 2022.03.06 19:52:13
Stop:  2022.03.08 22:52:13
Minimum Elevation: 15°
Minimum Apogee: 20°
Number of passes: 27

+------------+---------------------+---------+-----------+
| Satellite  |       DateTime      | Azimuth | Elevation |
|            |                     |         |           |
|  NOAA 19   | 2022.03.08 18:12:17 |  140.6  |    15.0   |
|  NOAA 19   | 2022.03.08 18:16:13 |  65.88  |   56.35   |
|  NOAA 19   | 2022.03.08 18:20:10 |  351.26 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.08 19:35:35 |  239.28 |    15.0   |
| METEOR-M 2 | 2022.03.08 19:37:40 |  270.87 |   19.21   |
| METEOR-M 2 | 2022.03.08 19:39:45 |  302.48 |    15.0   |
|            |                     |         |           |
+------------+---------------------+---------+-----------+
