Satellits Schedule / LorettOrbital 0.0.4

Coordinates of the position: 43.8302° 55.397°
Time zone: UTC +0:00
Start: 2022.03.06 14:19:23
Stop:  2022.03.08 14:19:23
Minimum Elevation: 15°
Minimum Apogee: 20°
Number of passes: 26

+------------+---------------------+---------+-----------+
| Satellite  |       DateTime      | Azimuth | Elevation |
+------------+---------------------+---------+-----------+
| METEOR-M 2 | 2022.03.06 15:32:57 |  182.18 |    15.0   |
| METEOR-M 2 | 2022.03.06 15:36:49 |  258.32 |   56.03   |
| METEOR-M 2 | 2022.03.06 15:40:43 |  334.54 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.06 15:35:46 |  157.97 |    15.0   |
|  NOAA 19   | 2022.03.06 15:39:49 |   82.8  |    84.6   |
|  NOAA 19   | 2022.03.06 15:43:57 |  343.71 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.06 17:19:46 |  250.35 |    15.0   |
|  NOAA 19   | 2022.03.06 17:21:13 |  271.43 |    16.8   |
|  NOAA 19   | 2022.03.06 17:22:41 |  292.51 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.06 17:33:22 |  130.69 |    15.0   |
|  NOAA 18   | 2022.03.06 17:37:12 |  63.21  |   44.84   |
|  NOAA 18   | 2022.03.06 17:41:03 |  355.85 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.06 19:14:34 |  206.46 |    15.0   |
|  NOAA 18   | 2022.03.06 19:18:03 |  263.99 |   32.57   |
|  NOAA 18   | 2022.03.06 19:21:34 |  321.55 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.07 03:43:18 |  40.78  |    15.0   |
| METEOR-M 2 | 2022.03.07 03:46:31 |   94.3  |   29.37   |
| METEOR-M 2 | 2022.03.07 03:49:43 |  147.8  |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 03:52:03 |  69.01  |    15.0   |
|  NOAA 19   | 2022.03.07 03:53:23 |  88.36  |   16.51   |
