Satellits Schedule / LorettOrbital 0.0.4

Coordinates of the position: 43.8302° 55.397°
Time zone: UTC +0:00
Start: 2022.03.06 14:19:23
Stop:  2022.03.08 14:19:23
Minimum Elevation: 15°
Minimum Apogee: 20°
Number of passes: 26

+------------+---------------------+---------+-----------+
| Satellite  |       DateTime      | Azimuth | Elevation |
|  NOAA 19   | 2022.03.07 03:54:43 |  107.71 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.07 05:23:11 |   3.74  |    15.0   |
| METEOR-M 2 | 2022.03.07 05:26:55 |  294.99 |   46.51   |
| METEOR-M 2 | 2022.03.07 05:30:38 |  226.13 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 05:30:41 |  16.44  |    15.0   |
|  NOAA 19   | 2022.03.07 05:34:46 |  289.1  |   85.38   |
|  NOAA 19   | 2022.03.07 05:38:49 |  201.67 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 07:12:57 |  337.24 |    15.0   |
|  NOAA 19   | 2022.03.07 07:14:47 |  310.3  |    18.2   |
|  NOAA 19   | 2022.03.07 07:16:37 |  283.34 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.07 07:27:56 |  27.92  |    15.0   |
|  NOAA 18   | 2022.03.07 07:31:56 |  101.39 |   51.42   |
|  NOAA 18   | 2022.03.07 07:35:53 |  174.8  |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.07 09:09:06 |  355.29 |    15.0   |
|  NOAA 18   | 2022.03.07 09:12:25 |  302.34 |   30.14   |
|  NOAA 18   | 2022.03.07 09:15:43 |  249.28 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.07 13:34:58 |   87.1  |    15.0   |
| METEOR-M 2 | 2022.03.07 13:37:11 |  53.26  |    20.2   |
| METEOR-M 2 | 2022.03.07 13:39:24 |  19.45  |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 13:47:22 |  58.33  |    15.0   |
|  NOAA 19   | 2022.03.07 13:48:10 |  47.05  |   15.54   |
|  NOAA 19   | 2022.03.07 13:48:57 |  35.78  |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.07 15:12:51 |  167.09 |    15.0   |
| METEOR-M 2 | 2022.03.07 15:16:48 |  244.94 |   80.48   |
| METEOR-M 2 | 2022.03.07 15:20:51 |  341.5  |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 15:23:59 |  149.29 |    15.0   |
|  NOAA 19   | 2022.03.07 15:28:02 |  68.34  |   69.34   |
|  NOAA 19   | 2022.03.07 15:32:04 |  347.49 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 17:06:50 |  232.94 |    15.0   |
|  NOAA 19   | 2022.03.07 17:09:13 |  268.93 |   20.63   |
|  NOAA 19   | 2022.03.07 17:11:37 |  304.94 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.07 17:21:39 |  121.73 |    15.0   |
|  NOAA 18   | 2022.03.07 17:25:17 |  60.68  |   37.16   |
|  NOAA 18   | 2022.03.07 17:28:56 |  359.75 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.07 19:02:13 |  196.32 |    15.0   |
|  NOAA 18   | 2022.03.07 19:05:58 |  261.5  |   40.06   |
|  NOAA 18   | 2022.03.07 19:09:45 |  326.72 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.08 03:23:59 |  53.24  |    15.0   |
| METEOR-M 2 | 2022.03.08 03:26:22 |  90.17  |   20.93   |
| METEOR-M 2 | 2022.03.08 03:28:45 |  127.1  |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.08 05:03:06 |  10.28  |    15.0   |
| METEOR-M 2 | 2022.03.08 05:07:03 |  290.88 |   65.95   |
| METEOR-M 2 | 2022.03.08 05:10:59 |  211.37 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.08 05:18:51 |  20.33  |    15.0   |
|  NOAA 19   | 2022.03.08 05:22:57 |  113.63 |   78.18   |
|  NOAA 19   | 2022.03.08 05:26:58 |  192.88 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.08 07:00:39 |  344.58 |    15.0   |
|  NOAA 19   | 2022.03.08 07:03:05 |  307.69 |   21.34   |
|  NOAA 19   | 2022.03.08 07:05:31 |  270.76 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.08 07:16:03 |  32.48  |    15.0   |
|  NOAA 18   | 2022.03.08 07:19:52 |  98.79  |   41.46   |
|  NOAA 18   | 2022.03.08 07:23:38 |  165.29 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.08 08:56:55 |  359.51 |    15.0   |
|  NOAA 18   | 2022.03.08 09:00:31 |  299.79 |   35.92   |
|  NOAA 18   | 2022.03.08 09:04:05 |  239.95 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.08 13:16:49 |  58.79  |    15.0   |
| METEOR-M 2 | 2022.03.08 13:17:30 |  48.94  |    15.4   |
| METEOR-M 2 | 2022.03.08 13:18:11 |  39.09  |    15.0   |
|            |                     |         |           |
+------------+---------------------+---------+-----------+
